topological coefficient,degree
0.031305019,50
0.030119726,50
0.029201742,50
0.028860182,50
0.028818272,50
0.028455822,50
0.028187197,50
0.027207289,50
0.027018655,50
0.022920863,50
0.058081185,49
0.051478778,49
0.050193558,49
0.050143812,49
0.044630023,49
0.041167384,49
0.039021501,49
0.037640915,49
0.037600915,49
0.03743332,49
0.036883035,49
0.035747587,49
0.035692018,49
0.035015069,49
0.033679847,49
0.029998924,49
0.028478542,49
0.028170778,49
0.027408638,49
0.027338595,49
0.026333469,49
0.051821251,48
0.050758202,48
0.043324656,48
0.043214286,48
0.042875946,48
0.041940389,48
0.041412266,48
0.038568438,48
0.038191357,48
0.037757069,48
0.037310557,48
0.035746111,48
0.033910971,48
0.032870583,48
0.031468328,48
0.031183835,48
0.03089733,48
0.030089594,48
0.029856277,48
0.028351287,48
0.02789028,48
0.021977124,48
0.056927242,47
0.050389154,47
0.049570735,47
0.047427989,47
0.043925412,47
0.043154936,47
0.040747645,47
0.040287691,47
0.040116268,47
0.03771786,47
0.037270543,47
0.036252338,47
0.035673573,47
0.034917572,47
0.034587048,47
0.034428459,47
0.034288592,47
0.032728672,47
0.032386851,47
0.031596382,47
0.030730572,47
0.029424071,47
0.029241954,47
0.02917963,47
0.028329099,47
0.05936518,46
0.052585603,46
0.048432562,46
0.047025857,46
0.043097807,46
0.042832253,46
0.041803552,46
0.039192716,46
0.03570369,46
0.035372778,46
0.035273252,46
0.035123347,46
0.034763292,46
0.034073872,46
0.032620434,46
0.028421393,46
0.027333333,46
0.02720337,46
0.055029954,45
0.046993904,45
0.046621002,45
0.04431881,45
0.043224524,45
0.040049868,45
0.039759918,45
0.03972614,45
0.03836154,45
0.038180828,45
0.038028824,45
0.037054702,45
0.036148511,45
0.035722144,45
0.035390599,45
0.035334088,45
0.034560038,45
0.034369968,45
0.033774066,45
0.03375652,45
0.033601954,45
0.033513072,45
0.03326194,45
0.032715278,45
0.032007913,45
0.031610582,45
0.031539696,45
0.031499081,45
0.03053467,45
0.030468382,45
0.029738816,45
0.029311083,45
0.027430146,45
0.025614657,45
0.063695942,44
0.053697006,44
0.044790129,44
0.043982596,44
0.043249141,44
0.041666667,44
